Name,Annual_Avg_Pay_2008-2012,Annual_Avg_Pay_2013-2018,Annual_Avg_Pay_Variance
Alabama  ,40324.2,44679.833333333336,4355.633333333339
Alaska  ,48227.0,53787.666666666664,5560.666666666664
Arizona  ,43764.6,48551.166666666664,4786.566666666666
Arkansas  ,36474.2,41381.833333333336,4907.633333333339
California  ,53627.0,62525.0,8898.0
Colorado  ,48197.6,54716.333333333336,6518.733333333337
Connecticut  ,59772.2,65342.333333333336,5570.133333333339
Delaware  ,49248.2,54275.0,5026.800000000003
District of Columbia,79702.6,89170.66666666667,9468.066666666666
Florida  ,41728.6,46716.0,4987.4000000000015
Georgia  ,44148.6,50135.0,5986.4000000000015
Hawaii  ,41914.0,47466.666666666664,5552.666666666664
Idaho  ,34939.8,39589.833333333336,4650.033333333333
Illinois  ,49921.6,56174.0,6252.4000000000015
Indiana  ,39483.4,44414.666666666664,4931.266666666663
Iowa  ,38363.0,44372.5,6009.5
Kansas  ,39275.0,44001.166666666664,4726.166666666664
Kentucky  ,38849.4,43611.0,4761.5999999999985
Louisiana  ,41619.2,45918.333333333336,4299.133333333339
Maine  ,37379.6,42231.5,4851.9000000000015
Maryland  ,51779.2,57579.5,5800.300000000003
Massachusetts  ,58270.4,67092.0,8821.599999999999
Michigan  ,44975.4,50485.666666666664,5510.266666666663
Minnesota  ,47027.8,53948.166666666664,6920.366666666661
Mississippi  ,34509.8,37983.666666666664,3473.8666666666613
Missouri  ,41043.6,45904.666666666664,4861.066666666666
Montana  ,34909.8,40446.166666666664,5536.366666666661
Nebraska  ,37549.6,43119.0,5569.4000000000015
Nevada  ,43001.6,46644.333333333336,3642.733333333337
New Hampshire  ,46270.8,53027.333333333336,6756.533333333333
New Jersey  ,56604.0,62495.833333333336,5891.833333333336
New Mexico  ,39286.6,42765.0,3478.4000000000015
New York  ,60555.8,68002.0,7446.199999999997
North Carolina  ,41186.8,47040.5,5853.699999999997
North Dakota  ,39372.0,50145.333333333336,10773.333333333336
Ohio  ,42137.6,47540.5,5402.9000000000015
Oklahoma  ,38900.0,44381.666666666664,5481.666666666664
Oregon  ,42056.0,48920.166666666664,6864.166666666664
Pennsylvania  ,46075.0,52319.833333333336,6244.833333333336
Rhode Island  ,44706.8,50951.5,6244.699999999997
South Carolina  ,37655.4,42396.333333333336,4740.933333333334
South Dakota  ,34490.4,40566.666666666664,6076.266666666663
Tennessee  ,41645.0,47118.0,5473.0
Texas  ,47579.4,54429.166666666664,6849.766666666663
Utah  ,39512.6,44899.166666666664,5386.566666666666
Vermont  ,39560.0,44693.0,5133.0
Virginia  ,49486.8,54783.5,5296.699999999997
Washington  ,48954.6,58651.833333333336,9697.233333333337
West Virginia  ,37875.6,42388.833333333336,4513.233333333337
Wisconsin  ,40237.0,45681.5,5444.5
Wyoming  ,42426.6,46178.833333333336,3752.233333333337
